product_id,name,root_price_vnd,discounted_price_vnd,battery_capacity_wh,cpu_threads,cpu_base_clock_ghz,ram_type,cpu_model,manufacturer,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,cpu_cores,ram_speed,refresh_rate_hz,ram_slots,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002765__l264_20250402-105034,Laptop Dell XPS 13 9340 Ultra 7 155H/16GB/1TB/OfficeHS/Win11 (HXRGT),59990000,53490000,55,22,1.4,lpddr5,155h,dell,199,295.3,4.8,16,7467,60,0,card tích hợp,15.3,0,HD
0220042002775__l237_20250402-105034,Laptop Dell Latitude 3440 i7 1355U/16GB/512GB/Win11 (71038103),26990000,23990000,42,12,1.7,ddr4,1355u,dell,240,359,5,10,3200,60,2,card tích hợp,20.44,0,Full HD
0220042002809__l224_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (71043883),16990000,16490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002778__l49_20250402-105034,Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1546W),16990000,14090000,42,12,1.3,ddr4,1235u,asus,232.5,359.7,4.4,10,3200,60,2,card tích hợp,17.9,0,HD
0220042002779__l78_20250402-105034,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 5 125H/16GB/512GB/Win11,28990000,26690000,75,18,1.2,lpddr5,125h,asus,220.1,312.4,4.5,14,5200,120,0,card tích hợp,14.9,0,Full HD
0220042002780__l75_20250402-105034,Laptop Dell Latitude 3440 i5 1235U/16GB/512GB/Win11 (L3440-I51235U-16G512G),18990000,16990000,41,12,1.3,ddr4,1235u,dell,219.43,322.17,4.4,10,3200,60,2,card tích hợp,19.37,0,Full HD
0220042002781__l86_20250402-105034,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U165W11SLU),19990000,18490000,41,12,1.3,ddr4,1334u,dell,235.56,358.5,4.6,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002782__l206_20250402-105034,Laptop Dell Vostro 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (V3520-i5U165W11GRU),16990000,16490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002785__l211_20250402-105034,Laptop Lenovo ThinkBook 14 Ultra 7 155U/16GB/512GB/Win11 (21MR0072VN),27390000,25690000,45,14,1.7,ddr5,155u,lenovo,224,313.5,4.8,12,5600,60,2,card tích hợp,16.9,0,Full HD
0220042002786__l131_20250402-105034,Laptop Lenovo ThinkPad E16 Ultra 7 155H/32GB/1TB/Win11 (21MA004PVN),34390000,33390000,47,22,1.4,ddr5,155h,lenovo,247.7,356.1,4.8,16,5600,60,2,card tích hợp,19.85,0,Full HD
